COMMUNITY,Fish_kg,MarineMammals_kg,MarineInverts_kg,LATITUDE,LONGITUDE,total_kg,Region
NEWTOK,881.235487528344606,109.000000000000000,0.000000000000000,60.935052399999996,-164.645900600000004,990.235487528344606,West
NIGHTMUTE,1846.060212180110057,0.000000000000000,0.000000000000000,60.464283700000003,-164.836714599999993,1846.060212180110057,West
NIKISKI,464.881235827664398,0.000000000000000,0.000000000000000,60.724988300000000,-151.224023600000010,464.881235827664398,SCAK
NIKOLAEVSK,348.702947845804999,0.000000000000000,404.535147392290241,59.829552600000000,-151.596381500000007,753.238095238095184,SCAK
NIKOLSKI,525.396825396825420,0.000000000000000,92.063492063492063,52.999416500000002,-168.739748899999995,617.460317460317469,Aleutian
NINILCHIK,1209.979537846884796,12.000000000000000,5368.253968253968196,60.062246100000003,-151.404177199999992,6590.233506100852537,SCAK
NOATAK,12954.735914878772746,0.000000000000000,15.646258503401359,67.589497399999999,-163.010332199999993,12970.382173382173278,North
NOME,18047.461167800454859,4088.181818181818016,0.000000000000000,64.505735599999994,-165.415307200000001,22135.642985982274695,West
NOORVIK,27431.250000000000000,0.000000000000000,0.000000000000000,66.827182300000004,-161.029202999999995,27431.250000000000000,North
NUCHEK,0.000000000000000,149.333333333333343,0.000000000000000,60.333329999999997,-146.655280000000005,149.333333333333343,SCAK
NUIQSUT,5797.278911564625560,471.428571428571445,0.000000000000000,70.217101600000007,-150.995545099999987,6268.707482993197118,North
NUNAM IQUA,10993.200000000000728,3300.000000000000000,0.000000000000000,62.506534899999998,-164.900384000000003,14293.200000000000728,West
OLD HARBOR,3896.080498866213020,52.818181818181820,2768.405139833711019,57.220039999999997,-153.330497799999989,6717.303820518105567,SCAK
OLIKTOK LRRS AIRPORT,43.750000000000000,0.000000000000000,0.000000000000000,70.499709999999993,-149.879529999999988,43.750000000000000,North
OUZINKIE,5368.578798185941196,4.666666666666667,1512.320483749055256,57.925058200000002,-152.461655799999988,6885.565948601662967,SCAK
PALMER,20744.542877757165115,0.000000000000000,0.000000000000000,61.597369000000000,-149.114763500000009,20744.542877757165115,SCAK
PELICAN,1925.261595547309753,66.818181818181813,0.000000000000000,57.959800100000002,-136.216752700000001,1992.079777365491509,SEAK
PERRYVILLE,9230.854903628118336,0.000000000000000,2085.714285714285779,55.930191200000003,-159.146431500000006,11316.569189342404570,SCAK
PETERS CREEK,72.062500000000000,0.000000000000000,0.000000000000000,61.411110000000001,-149.445560000000000,72.062500000000000,SCAK
PETERSBURG,105406.802927231488866,140.000000000000000,1217801.360544217750430,56.763208900000002,-132.875740500000006,1323348.163471449166536,SEAK
PILOT POINT,2825.552631578947512,1.473684210526316,0.000000000000000,57.543636800000002,-157.719016299999993,2827.026315789473756,West
PLATINUM,1349.666666666666742,30.000000000000000,0.000000000000000,58.951277900000001,-161.747491300000007,1379.666666666666742,West
POINT BAKER,802.983888292158895,0.000000000000000,1257.596371882086032,56.348131700000003,-133.616794199999987,2060.580260174244813,SEAK
POINT HOPE,28.477272727272727,19345.000000000000000,0.000000000000000,68.343945700000006,-166.672879899999998,19373.477272727272066,North
POINT LAY,9.556818181818182,21936.818181818180165,0.000000000000000,69.742064999999997,-162.758207400000003,21946.375000000000000,North
PORT ALEXANDER,1089.189279415469855,0.000000000000000,0.000000000000000,56.235218000000003,-134.653498500000012,1089.189279415469855,SEAK
PORT GRAHAM,6629.752947845804556,14.000000000000000,1246.560846560846585,59.339790100000002,-151.846501300000000,7890.313794406651141,SCAK
PORT HEIDEN,1146.881578947368325,38.736842105263158,0.000000000000000,56.964176799999997,-158.580634800000013,1185.618421052631447,West
PORT LIONS,5725.953514739228922,150.181818181818187,2134.240362811791329,57.877612800000001,-152.865807700000005,8010.375695732838722,SCAK
PORT MOLLER,823.500000000000000,0.000000000000000,0.000000000000000,55.988610000000001,-160.576940000000008,823.500000000000000,West
PORT WILLIAMS,210.884353741496568,0.000000000000000,0.000000000000000,58.492220000000003,-152.582780000000014,210.884353741496568,SCAK
PORTAGE CREEK,601.017857142857110,0.000000000000000,0.000000000000000,58.904908399999997,-157.669052200000010,601.017857142857110,West
PRUDHOE BAY,40.375000000000000,0.000000000000000,0.000000000000000,70.366209699999999,-148.745528600000000,40.375000000000000,North
QUINHAGAK,41396.807178932176612,1071.363636363636260,0.000000000000000,59.755440700000001,-161.899796400000014,42468.170815295816283,West
ROWAN BAY,54.000000000000000,0.000000000000000,0.000000000000000,56.668360000000000,-134.262910000000005,54.000000000000000,SEAK
SAND POINT,19579.065084764064522,39.047619047619051,4894.784580498866490,55.313368300000000,-160.483552400000008,24512.897284310551186,SCAK
SAVOONGA,1848.874193267050487,269994.615384615375660,0.000000000000000,63.680765500000000,-170.482781899999992,271843.489577882399317,West
SAXMAN,970.180672268907529,0.000000000000000,0.000000000000000,55.322820100000001,-131.588969200000008,970.180672268907529,SEAK
SCAMMON BAY,15447.543212739641604,4074.545454545454504,0.000000000000000,61.842624499999999,-165.583265799999992,19522.088667285097472,West
SECURITY BAY,340.000000000000000,0.000000000000000,0.000000000000000,56.838059999999999,-134.327499999999986,340.000000000000000,SEAK
SELAWIK,10521.667120181406062,0.000000000000000,0.000000000000000,66.590751200000000,-160.001205999999996,10521.667120181406062,North
SELDOVIA,4715.933646474462876,14.000000000000000,4788.057445200302027,59.439714700000003,-151.711735599999997,9517.991091674764903,SCAK
SEWARD,681.520949288806378,0.636363636363636,0.000000000000000,60.124786299999997,-149.391580800000014,682.157312925170004,SCAK
SHAKTOOLIK,20124.727272727272066,9070.909090909090082,0.000000000000000,64.359085800000003,-161.201100099999991,29195.636363636360329,West
SHISHMAREF,2887.985544217687220,14941.571428571429351,774.603174603174580,66.234999099999996,-166.119138700000008,18604.160147392292856,North
SITKA,86139.955370026800665,1086.636363636363740,111185.034013605443761,57.142508499999998,-135.332623600000005,198411.625747268612031,SEAK
SKAGWAY,723.376842403628075,0.000000000000000,0.000000000000000,59.464360399999997,-135.275150599999989,723.376842403628075,SEAK
SOLDOTNA,1105.721683673469443,0.000000000000000,0.000000000000000,60.484995800000000,-151.068753799999996,1105.721683673469443,SCAK
