Data_source,Study_name,Year_clean,Total_PAH,Lat,Long,Common_name,Scientific_name,Species_standard,Taxonomic_group,Layman_group,Sample_motivation,Source_sampleID,SumPAHCount,Units_standardized,Basis_standardized,Sum_Method,Tissue_type_standardized_grouped,Detection_limit_standardized,Reporting_limit_standardized,Qualifier_code,Moisture_pct,Lab_ID,Notes,(...),Study_name_clean,Study_name_cleaner
Diver,NOAA Special Alaska Study 2007,2008,2.808,59.723,-151.027,Cockle,Clinocardium nuttallii,cockle,Bivalvia,Clams,Background biomonitoring,1096-07-SS2008CIBCCN,,ng/g,wet,Provided,Whole Body,1,1,CALC_018,,,,cockle,NOAA AKMAP Special Study,NOAA Regional Studies
Diver,NOAA Special Alaska Study 2007,2008,8.8,59.723,-151.027,Blue Mussel,Mytilus edulis,mussel,Bivalvia,Mussels,Background biomonitoring,1096-07-SS2008CIBCME,,ng/g,wet,Provided,Whole Body,1,1,CALC_018,,,,mussel,NOAA AKMAP Special Study,NOAA Regional Studies
Diver,Mussel Watch:Alaska 2008,2008,1.17,60.05139,-151.66889,Pacific Razor Clam,Siliqua patula,clam,Bivalvia,Clams,Background biomonitoring,MWAK-23-MW2008NINBRC_1RC,,ng/g,wet,Provided,Other,1,1,CALC_018,,,,clam,NOAA Mussel Watch,NOAA Mussel Watch
Diver,Mussel Watch:Alaska 2008,2008,6.81992,60.05139,-151.66889,Spot Shrimp,Pandalus platyceros,shrimp,Decapoda,Crabs/ Shrimp,Background biomonitoring,MWAK-23-2008NINB1SP_SP,,ng/g,wet,Provided,Whole Body,1,1,CALC_018,,,,shrimp,NOAA Mussel Watch,NOAA Mussel Watch
Diver,Mussel Watch:Alaska 2009,2009,17.08493,55.29383,-131.548,Mussel,Mytilus,mussel,Bivalvia,Mussels,Background biomonitoring,MWAK-24-2009KTMP1MS_MS,,ng/g,wet,Provided,Whole Body,1,1,CALC_018,,,,molluscs,NOAA Mussel Watch,NOAA Mussel Watch
Diver,Mussel Watch:Alaska 2009,2009,18.32698,59.45333,-135.3365,Mussel,Mytilus,mussel,Bivalvia,Mussels,Background biomonitoring,MWAK-24-2009NBES1MS_MS,,ng/g,wet,Provided,Whole Body,1,1,CALC_018,,,,molluscs,NOAA Mussel Watch,NOAA Mussel Watch
Diver,Mussel Watch:Alaska 2009,2009,17.0299,61.13283,-146.461,Bay Mussel,Mytilus trossulus,mussel,Bivalvia,Mussels,Background biomonitoring,MWAK-24-2009PVMC1BaM_aM,,ng/g,wet,Provided,Whole Body,1,1,CALC_018,,,,mussel,NOAA Mussel Watch,NOAA Mussel Watch
Diver,Mussel Watch:Alaska 2009,2009,18.56496,60.96083,-147.646,Bay Mussel,Mytilus trossulus,mussel,Bivalvia,Mussels,Background biomonitoring,MWAK-24-2009UISB1BaM_aM,,ng/g,wet,Provided,Whole Body,1,1,CALC_018,,,,mussel,NOAA Mussel Watch,NOAA Mussel Watch
Diver,NOAA North Pacific Research Board Study 2010,2010,16.434,59.3,-151.9,Soft Shell Clam,Mya arenaria,clam,Bivalvia,Clams,Background biomonitoring,1096-12-BA2010NPR_NHA,,ng/g,wet,Provided,Whole Body,1,1,CALC_018,,,,clam,NOAA North Pacific Research Board Study,NOAA Regional Studies
Diver,NOAA North Pacific Research Board Study 2010,2010,22.287,59.5705,-151.968,Cockle,Clinocardium nuttallii,cockle,Bivalvia,Clams,Background biomonitoring,1096-12-BA2010NPR_PGHA3,,ng/g,wet,Provided,Whole Body,1,1,CALC_018,,,,cockle,NOAA North Pacific Research Board Study,NOAA Regional Studies
