Data_source,Study_name,Year_clean,Total_PAH,Lat,Long,Common_name,Scientific_name,Species_standard,Taxonomic_group,Layman_group,Sample_motivation,Source_sampleID,SumPAHCount,Units_standardized,Basis_standardized,Sum_Method,Tissue_type_standardized_grouped,Detection_limit_standardized,Reporting_limit_standardized,Qualifier_code,Moisture_pct,Lab_ID,Notes,F_____,Study_name_clean,Study_name_cleaner,Region
ERM,ERM NorthSlope Subsistence Study 2014 2015,2014,0.000000000000000,70.478149999999999,-150.778480000000002,Arctic Cisco,Coregonus autumnalis,anadromous/freshwater fish,Chordata (Actinopterygii),Fish,Background biomonitoring,ACIS-2014-023,17,ng/g,wet,Calculated,Whole Body,,,,,,,anadromous/freshwater fish,NorthSlope Subsistence Study,NorthSlope Subsistence Study,North
ERM,ERM NorthSlope Subsistence Study 2014 2015,2014,0.000000000000000,70.478149999999999,-150.778480000000002,Arctic Cisco,Coregonus autumnalis,anadromous/freshwater fish,Chordata (Actinopterygii),Fish,Background biomonitoring,ACIS-2014-024,17,ng/g,wet,Calculated,Whole Body,,,,,,,anadromous/freshwater fish,NorthSlope Subsistence Study,NorthSlope Subsistence Study,North
ERM,ERM NorthSlope Subsistence Study 2014 2015,2014,0.000000000000000,70.478149999999999,-150.778480000000002,Arctic Cisco,Coregonus autumnalis,anadromous/freshwater fish,Chordata (Actinopterygii),Fish,Background biomonitoring,ACIS-2014-025,17,ng/g,wet,Calculated,Whole Body,,,,,,,anadromous/freshwater fish,NorthSlope Subsistence Study,NorthSlope Subsistence Study,North
ERM,ERM NorthSlope Subsistence Study 2014 2015,2014,0.000000000000000,70.478149999999999,-150.778480000000002,Arctic Cisco,Coregonus autumnalis,anadromous/freshwater fish,Chordata (Actinopterygii),Fish,Background biomonitoring,ACIS-2014-026,17,ng/g,wet,Calculated,Whole Body,,,,,,,anadromous/freshwater fish,NorthSlope Subsistence Study,NorthSlope Subsistence Study,North
ERM,ERM NorthSlope Subsistence Study 2014 2015,2014,0.000000000000000,70.478149999999999,-150.778480000000002,Arctic Cisco,Coregonus autumnalis,anadromous/freshwater fish,Chordata (Actinopterygii),Fish,Background biomonitoring,ACIS-2014-027,17,ng/g,wet,Calculated,Whole Body,,,,,,,anadromous/freshwater fish,NorthSlope Subsistence Study,NorthSlope Subsistence Study,North
ERM,ERM NorthSlope Subsistence Study 2014 2015,2014,0.000000000000000,70.478149999999999,-150.778480000000002,Arctic Cisco,Coregonus autumnalis,anadromous/freshwater fish,Chordata (Actinopterygii),Fish,Background biomonitoring,ACIS-2014-028,17,ng/g,wet,Calculated,Whole Body,,,,,,,anadromous/freshwater fish,NorthSlope Subsistence Study,NorthSlope Subsistence Study,North
ERM,ERM NorthSlope Subsistence Study 2014 2015,2014,0.000000000000000,70.478149999999999,-150.778480000000002,Arctic Cisco,Coregonus autumnalis,anadromous/freshwater fish,Chordata (Actinopterygii),Fish,Background biomonitoring,ACIS-2014-029,17,ng/g,wet,Calculated,Whole Body,,,,,,,anadromous/freshwater fish,NorthSlope Subsistence Study,NorthSlope Subsistence Study,North
ERM,ERM NorthSlope Subsistence Study 2014 2015,2014,0.000000000000000,70.478149999999999,-150.778480000000002,Arctic Cisco,Coregonus autumnalis,anadromous/freshwater fish,Chordata (Actinopterygii),Fish,Background biomonitoring,ACIS-2014-030,17,ng/g,wet,Calculated,Whole Body,,,,,,,anadromous/freshwater fish,NorthSlope Subsistence Study,NorthSlope Subsistence Study,North
ERM,ERM NorthSlope Subsistence Study 2014 2015,2015,0.000000000000000,70.478149999999999,-150.778480000000002,Arctic Cisco,Coregonus autumnalis,anadromous/freshwater fish,Chordata (Actinopterygii),Fish,Background biomonitoring,ACIS-2015-01,17,ng/g,wet,Calculated,Whole Body,,,,,,,anadromous/freshwater fish,NorthSlope Subsistence Study,NorthSlope Subsistence Study,North
ERM,ERM NorthSlope Subsistence Study 2014 2015,2015,0.000000000000000,70.478149999999999,-150.778480000000002,Arctic Cisco,Coregonus autumnalis,anadromous/freshwater fish,Chordata (Actinopterygii),Fish,Background biomonitoring,ACIS-2015-02,17,ng/g,wet,Calculated,Whole Body,,,,,,,anadromous/freshwater fish,NorthSlope Subsistence Study,NorthSlope Subsistence Study,North
ERM,ERM NorthSlope Subsistence Study 2014 2015,2015,0.000000000000000,70.478149999999999,-150.778480000000002,Arctic Cisco,Coregonus autumnalis,anadromous/freshwater fish,Chordata (Actinopterygii),Fish,Background biomonitoring,ACIS-2015-03,17,ng/g,wet,Calculated,Whole Body,,,,,,,anadromous/freshwater fish,NorthSlope Subsistence Study,NorthSlope Subsistence Study,North
ERM,ERM NorthSlope Subsistence Study 2014 2015,2015,0.000000000000000,70.478149999999999,-150.778480000000002,Arctic Cisco,Coregonus autumnalis,anadromous/freshwater fish,Chordata (Actinopterygii),Fish,Background biomonitoring,ACIS-2015-04,17,ng/g,wet,Calculated,Whole Body,,,,,,,anadromous/freshwater fish,NorthSlope Subsistence Study,NorthSlope Subsistence Study,North
ERM,ERM NorthSlope Subsistence Study 2014 2015,2015,0.000000000000000,70.478149999999999,-150.778480000000002,Arctic Cisco,Coregonus autumnalis,anadromous/freshwater fish,Chordata (Actinopterygii),Fish,Background biomonitoring,ACIS-2015-05,17,ng/g,wet,Calculated,Whole Body,,,,,,,anadromous/freshwater fish,NorthSlope Subsistence Study,NorthSlope Subsistence Study,North
ERM,ERM NorthSlope Subsistence Study 2014 2015,2015,0.000000000000000,70.478149999999999,-150.778480000000002,Arctic Cisco,Coregonus autumnalis,anadromous/freshwater fish,Chordata (Actinopterygii),Fish,Background biomonitoring,ACIS-2015-06,17,ng/g,wet,Calculated,Whole Body,,,,,,,anadromous/freshwater fish,NorthSlope Subsistence Study,NorthSlope Subsistence Study,North
ERM,ERM NorthSlope Subsistence Study 2014 2015,2015,0.000000000000000,70.478149999999999,-150.778480000000002,Arctic Cisco,Coregonus autumnalis,anadromous/freshwater fish,Chordata (Actinopterygii),Fish,Background biomonitoring,ACIS-2015-07,17,ng/g,wet,Calculated,Whole Body,,,,,,,anadromous/freshwater fish,NorthSlope Subsistence Study,NorthSlope Subsistence Study,North
