Study	NST_Site	General_Location	Specific_Location	Sample_ID	Latitude	Longitude	Fiscal_Year	Collection_Date	Matrix	Scientific_Name	Method	Parameter	Value	Qualifier	Unit	
Bering Sea Study	BER_08B	Bristol Bay	8B	SS1994BER_08BSTA	57	-163.5	1994		Starfish		GCMS	Perylene	0.7	Below the MDL	ng/dry g	
Bering Sea Study	BER_08B	Bristol Bay	8B	SS1994BER_08BSTA	57	-163.5	1994		Starfish		GCMS	Phenanthrene	5.1		ng/dry g	
Bering Sea Study	BER_08B	Bristol Bay	8B	SS1994BER_08BSTA	57	-163.5	1994		Starfish		GCMS	Pyrene	2	Below the MDL	ng/dry g	
Bering Sea Study	BER_11B	Bristol Bay	11B	SS1994BER_11BSTA	58	-158.5	1994		Starfish		GCMS	1,6,7-Trimethylnaphthalene	0.7	Below the MDL	ng/dry g	
Bering Sea Study	BER_11B	Bristol Bay	11B	SS1994BER_11BSTA	58	-158.5	1994		Starfish		GCMS	1-Methylnaphthalene	3.6	Below the MDL	ng/dry g	
Bering Sea Study	BER_11B	Bristol Bay	11B	SS1994BER_11BSTA	58	-158.5	1994		Starfish		GCMS	1-Methylphenanthrene	0.6	Below the MDL	ng/dry g	
Bering Sea Study	BER_11B	Bristol Bay	11B	SS1994BER_11BSTA	58	-158.5	1994		Starfish		GCMS	2,6-Dimethylnaphthalene	2.4	Below the MDL	ng/dry g	
Bering Sea Study	BER_11B	Bristol Bay	11B	SS1994BER_11BSTA	58	-158.5	1994		Starfish		GCMS	2-Methylnaphthalene	4.2	Below the MDL	ng/dry g	
Bering Sea Study	BER_11B	Bristol Bay	11B	SS1994BER_11BSTA	58	-158.5	1994		Starfish		GCMS	Acenaphthene	0.7	Below the MDL	ng/dry g	
Bering Sea Study	BER_11B	Bristol Bay	11B	SS1994BER_11BSTA	58	-158.5	1994		Starfish		GCMS	Acenaphthylene	0.3	Below the MDL	ng/dry g	
Bering Sea Study	BER_11B	Bristol Bay	11B	SS1994BER_11BSTA	58	-158.5	1994		Starfish		GCMS	Anthracene	0.7	Below the MDL	ng/dry g	
Bering Sea Study	BER_11B	Bristol Bay	11B	SS1994BER_11BSTA	58	-158.5	1994		Starfish		GCMS	Benz[a]anthracene	0.1	Below the MDL	ng/dry g	
Bering Sea Study	BER_11B	Bristol Bay	11B	SS1994BER_11BSTA	58	-158.5	1994		Starfish		GCMS	Benzo[a]pyrene	0.2	Below the MDL	ng/dry g	
Bering Sea Study	BER_11B	Bristol Bay	11B	SS1994BER_11BSTA	58	-158.5	1994		Starfish		GCMS	Benzo[b]fluoranthene	0.1	Below the MDL	ng/dry g	
Bering Sea Study	BER_11B	Bristol Bay	11B	SS1994BER_11BSTA	58	-158.5	1994		Starfish		GCMS	Benzo[e]pyrene	0.7	Below the MDL	ng/dry g	
Bering Sea Study	BER_11B	Bristol Bay	11B	SS1994BER_11BSTA	58	-158.5	1994		Starfish		GCMS	Benzo[g,h,i]perylene	0.3	Below the MDL	ng/dry g	
Bering Sea Study	BER_11B	Bristol Bay	11B	SS1994BER_11BSTA	58	-158.5	1994		Starfish		GCMS	Benzo[k]fluoranthene	0.1	Below the MDL	ng/dry g	
Bering Sea Study	BER_11B	Bristol Bay	11B	SS1994BER_11BSTA	58	-158.5	1994		Starfish		GCMS	Biphenyl	3.8	Below the MDL	ng/dry g	
Bering Sea Study	BER_11B	Bristol Bay	11B	SS1994BER_11BSTA	58	-158.5	1994		Starfish		GCMS	C1-Chrysenes	0	Not detected	ng/dry g	
Bering Sea Study	BER_11B	Bristol Bay	11B	SS1994BER_11BSTA	58	-158.5	1994		Starfish		GCMS	C1-Dibenzothiophenes	0	Not detected	ng/dry g	
Bering Sea Study	BER_11B	Bristol Bay	11B	SS1994BER_11BSTA	58	-158.5	1994		Starfish		GCMS	C1-Fluoranthenes_Pyrenes	0	Not detected	ng/dry g	
Bering Sea Study	BER_11B	Bristol Bay	11B	SS1994BER_11BSTA	58	-158.5	1994		Starfish		GCMS	C1-Fluorenes	0	Not detected	ng/dry g	
Bering Sea Study	BER_11B	Bristol Bay	11B	SS1994BER_11BSTA	58	-158.5	1994		Starfish		GCMS	C1-Naphthalenes	7.9	Below the MDL	ng/dry g	
Bering Sea Study	BER_11B	Bristol Bay	11B	SS1994BER_11BSTA	58	-158.5	1994		Starfish		GCMS	C1-Phenanthrenes_Anthracenes	3.6	Below the MDL	ng/dry g	
Bering Sea Study	BER_11B	Bristol Bay	11B	SS1994BER_11BSTA	58	-158.5	1994		Starfish		GCMS	C2-Chrysenes	0	Not detected	ng/dry g	
