COMMUNITY,Fish_kg,MarineMammals_kg,MarineInverts_kg,LATITUDE,LONGITUDE,total_kg
PAXSON,446.25,0,0,63.0488105,-145.6377662,446.25
PEDRO BAY,11934.4610510871,0,29.931972789115644,59.7821613,-154.1079305,11964.393023876217
PELICAN,1925.2615955473098,66.81818181818181,0,57.9598001,-136.2167527,1992.0797773654915
PERRYVILLE,9230.854903628118,0,2085.714285714286,55.9301912,-159.1464315,11316.569189342405
PETERS CREEK,72.0625,0,0,61.41111,-149.44556,72.0625
PETERSBURG,105406.80292723149,140,1217801.3605442178,56.7632089,-132.8757405,1323348.1634714492
PETERSVILLE,31.5,0,0,62.4734015,-150.8767873,31.5
PILOT POINT,2825.5526315789475,1.4736842105263157,0,57.5436368,-157.7190163,2827.0263157894738
PILOT STATION,38649.5,0,0,61.9466541,-162.8782967,38649.5
PITKAS POINT,10095.264705882353,0,0,62.0373931,-163.2668218,10095.264705882353
PLATINUM,1349.6666666666667,30,0,58.9512779,-161.7474913,1379.6666666666667
POINT BAKER,802.9838882921589,0,1257.596371882086,56.3481317,-133.6167942,2060.580260174245
POINT HOPE,28.477272727272727,19345,0,68.3439457,-166.6728799,19373.477272727272
POINT LAY,9.556818181818182,21936.81818181818,0,69.742065,-162.7582074,21946.375
PORT ALEXANDER,1089.1892794154699,0,0,56.235218,-134.6534985,1089.1892794154699
PORT ALSWORTH,6637.368847539015,0,52.15419501133787,60.1578492,-154.3406085,6689.523042550353
PORT GRAHAM,6629.752947845805,14,1246.5608465608466,59.3397901,-151.8465013,7890.313794406651
PORT HEIDEN,1146.8815789473683,38.73684210526316,0,56.9641768,-158.5806348,1185.6184210526314
PORT LIONS,5725.953514739229,150.1818181818182,2134.2403628117913,57.8776128,-152.8658077,8010.375695732839
PORT MOLLER,823.5,0,0,55.98861,-160.57694,823.5
PORT WILLIAMS,210.88435374149657,0,0,58.49222,-152.58278,210.88435374149657
PORTAGE CREEK,601.0178571428571,0,0,58.9049084,-157.6690522,601.0178571428571
PRUDHOE BAY,40.375,0,0,70.3662097,-148.7455286,40.375
QUINHAGAK,41396.80717893218,1071.3636363636363,0,59.7554407,-161.8997964,42468.170815295816
RAMPART,17983.432681405895,0,136.05442176870747,65.4087212,-149.9916079,18119.4871031746
RED DEVIL,7048.4473684210525,0,0,61.7575614,-157.3584514,7048.4473684210525
ROWAN BAY,54,0,0,56.66836,-134.26291,54
RUBY,25010.529081632652,0,29.931972789115644,64.7223597,-155.5014326,25040.46105442177
